time_s,voltage_V,current_A,temperature_C
0.0000,2.500000,0.420000,20.0000
0.0200,2.504565,0.417744,20.1023
0.0400,2.466987,0.414555,20.2037
0.0600,2.379721,0.410502,20.3039
0.0800,2.249071,0.405695,20.4025
0.1000,2.092453,0.400281,20.4993
0.1200,1.929947,0.394438,20.5941
0.1400,1.774566,0.388363,20.6865
0.1600,1.626307,0.382266,20.7764
0.1800,1.473094,0.376358,20.8635
0.2000,1.298110,0.370841,20.9476
0.2200,1.089665,0.365900,21.0287
0.2400,0.848435,0.361689,21.1064
0.2600,0.588269,0.358332,21.1808
0.2800,0.330125,0.355908,21.2517
0.3000,0.092310,0.354453,21.3190
0.3200,-0.117900,0.353958,21.3828
0.3400,-0.306885,0.354367,21.4431
0.3600,-0.490175,0.355579,21.4997
0.3800,-0.683207,0.357457,21.5530
0.4000,-0.892164,0.359832,21.6028
0.4200,-1.109722,0.362511,21.6493
0.4400,-1.317917,0.365285,21.6927
0.4600,-1.496660,0.367945,21.7331
0.4800,-1.633444,0.370282,21.7708
0.5000,-1.729169,0.372109,21.8059
0.5200,-1.797061,0.373260,21.8387
0.5400,-1.855231,0.373602,21.8694
0.5600,-1.916795,0.373043,21.8983
0.5800,-1.982704,0.371535,21.9258
0.6000,-2.041054,0.369074,21.9519
0.6200,-2.073222,0.365704,21.9772
0.6400,-2.063631,0.361512,22.0018
0.6600,-2.008024,0.356626,22.0261
0.6800,-1.915926,0.351207,22.0504
0.7000,-1.805993,0.345443,22.0750
0.7200,-1.696683,0.339538,22.1001
0.7400,-1.597124,0.333703,22.1261
0.7600,-1.502938,0.328147,22.1533
0.7800,-1.399215,0.323065,22.1817
0.8000,-1.269058,0.318630,22.2118
0.8200,-1.103233,0.314983,22.2437
0.8400,-0.905858,0.312229,22.2776
0.8600,-0.693151,0.310429,22.3136
0.8800,-0.485883,0.309599,22.3520
0.9000,-0.299472,0.309708,22.3927
0.9200,-0.136887,0.310682,22.4360
0.9400,0.011932,0.312402,22.4817
0.9600,0.163846,0.314716,22.5301
0.9800,0.332748,0.317443,22.5810
1.0000,0.521374,0.320383,22.6344
1.0200,0.718986,0.323326,22.6903
1.0400,0.906142,0.326059,22.7486
1.0600,1.064073,0.328385,22.8090
1.0800,1.183770,0.330122,22.8716
1.1000,1.270024,0.331120,22.9361
1.1200,1.338325,0.331263,23.0023
1.1400,1.406240,0.330477,23.0700
1.1600,1.483780,0.328733,23.1389
1.1800,1.567816,0.326049,23.2089
1.2000,1.643435,0.322489,23.2795
1.2200,1.691568,0.318158,23.3507
1.2400,1.698868,0.313199,23.4220
1.2600,1.664684,0.307786,23.4932
1.2800,1.601490,0.302116,23.5639
1.3000,1.528522,0.296396,23.6339
1.3200,1.461974,0.290838,23.7030
1.3400,1.406850,0.285647,23.7707
1.3600,1.354755,0.281008,23.8368
1.3800,1.288759,0.277082,23.9012
1.4000,1.192788,0.273994,23.9634
1.4200,1.060627,0.271831,24.0233
1.4400,0.899818,0.270634,24.0807
1.4600,0.728401,0.270398,24.1353
1.4800,0.566206,0.271073,24.1871
1.5000,0.425233,0.272565,24.2358
1.5200,0.304147,0.274739,24.2814
1.5400,0.189765,0.277430,24.3238
1.5600,0.064740,0.280447,24.3628
1.5800,-0.082577,0.283584,24.3986
1.6000,-0.251274,0.286628,24.4310
1.6200,-0.427594,0.289375,24.4602
1.6400,-0.591407,0.291629,24.4861
1.6600,-0.726042,0.293225,24.5089
1.6800,-0.826353,0.294024,24.5286
1.7000,-0.900803,0.293930,24.5455
1.7200,-0.966481,0.292888,24.5597
1.7400,-1.039662,0.290889,24.5714
1.7600,-1.126859,0.287973,24.5808
1.7800,-1.221040,0.284220,24.5882
1.8000,-1.304998,0.279754,24.5938
1.8200,-1.360120,0.274734,24.5978
1.8400,-1.375953,0.269343,24.6006
1.8600,-1.355579,0.263784,24.6024
1.8800,-1.313982,0.258269,24.6036
1.9000,-1.270260,0.253006,24.6044
1.9200,-1.237755,0.248193,24.6052
1.9400,-1.217259,0.244007,24.6062
1.9600,-1.196856,0.240592,24.6078
1.9800,-1.158464,0.238059,24.6102
2.0000,-1.087665,0.236473,24.6137
2.0200,-0.981671,0.235856,24.6185
2.0400,-0.851253,0.236184,24.6250
2.0600,-0.715623,0.237385,24.6333
2.0800,-0.592932,0.239347,24.6436
2.1000,-0.491363,0.241922,24.6562
